"","ID","cohort","sex"
"1","alla","A","0"
"2","amy","2013","1"
"3","arag","2015","1"
"4","arwe","A","1"
"5","band","2013","0"
"6","bern","A","0"
"7","bilb","2014","0"
"8","bone","A","0"
"9","brie","A","1"
"10","caba","2015","1"
"11","cact","2014","0"
"12","carm","A","1"
"13","cind","2013","1"
"14","clou","A","0"
"15","coco","A","1"
"16","cola","2014","1"
"17","cube","2014","0"
"18","cura","2016","0"
"19","cycl","A","1"
"20","cyclinf15","2015","NA"
"21","cyclinf16","2016","0"
"22","daen","2014","1"
"23","daff","A","1"
"24","damo","2014","0"
"25","dant","A","0"
"26","dart","2013","1"
"27","deso","2014","1"
"28","dice","2015","1"
"29","dire","2015","1"
"30","disn","2013","1"
"31","dodg","A","0"
"32","dori","A","1"
"33","doriinf16","2016","NA"
"34","dott","A","1"
"35","dottinf16","2016","1"
"36","egon","A","0"
"37","ella","A","1"
"38","ellainf16","2016","0"
"39","elto","2014","1"
"40","emil","2015","1"
"41","eve","2013","1"
"42","fang","A","0"
"43","fay","A","1"
"44","fayinf15","2015","NA"
"45","fent","2013","0"
"46","fina","2013","1"
"47","flo","A","1"
"48","floinf15","2015","1"
"49","flyn","A","0"
"50","funk","2014","0"
"51","gats","2014","0"
"52","gimp","A","0"
"53","ging","A","1"
"54","ginginf16","2016","NA"
"55","gizm","2013","1"
"56","glac","2014","0"
"57","glad","A","1"
"58","glit","A","1"
"59","glue","2013","1"
"60","gord","2013","1"
"61","grub","2014","0"
"62","guge","2015","1"
"63","gunt","A","0"
"64","harr","2013","0"
"65","hect","2013","0"
"66","herm","A","1"
"67","holl","A","1"
"68","hollinf16","2016","NA"
"69","home","2015","0"
"70","hord","2014","0"
"71","howz","2014","1"
"72","igor","A","0"
"73","jasm","A","1"
"74","jasminf15","2015","0"
"75","jasminf16","2016","0"
"76","katn","2013","1"
"77","keit","A","0"
"78","kels","A","1"
"79","kins","A","1"
"80","kiss","2014","0"
"81","kumq","2015","1"
"82","larr","A","0"
"83","laur","A","1"
"84","laurinf15","2015","NA"
"85","laurinf16","2016","1"
"86","laya","A","1"
"87","layainf15","2015","NA"
"88","lego","A","0"
"89","leit","A","0"
"90","leon","2013","0"
"91","lia","2013","1"
"92","ligh","2014","0"
"93","lisa","A","1"
"94","lisainf14","2014","1"
"95","loga","A","0"
"96","loki","2013","0"
"97","lore","2014","1"
"98","lucy","A","1"
"99","lucyinf15","2015","NA"
"100","lucyinf16","2016","NA"
"101","luxe","2015","0"
"102","macy","A","0"
"103","magn","A","0"
"104","malc","A","0"
"105","max","A","0"
"106","meg","A","1"
"107","mori","A","0"
"108","naom","A","1"
"109","need","A","1"
"110","needinf16","2016","NA"
"111","nife","2014","1"
"112","nige","A","0"
"113","nina","A","1"
"114","nobo","2014","1"
"115","obi","A","0"
"116","ocea","A","1"
"117","octo","2015","0"
"118","omni","2014","0"
"119","oreo","2013","1"
"120","panc","A","0"
"121","pean","2014","1"
"122","peet","2013","1"
"123","pene","A","1"
"124","phoe","A","1"
"125","phoeinf16","2016","NA"
"126","piec","2015","0"
"127","pino","2015","0"
"128","podg","2014","1"
"129","polk","2014","1"
"130","port","2016","0"
"131","pris","A","1"
"132","prof","2013","0"
"133","puck","2013","0"
"134","pumb","2013","0"
"135","pupi","2014","1"
"136","puzz","A","1"
"137","puzzinf16","2016","NA"
"138","raje","A","0"
"139","raqa","A","0"
"140","razo","A","0"
"141","ring","A","0"
"142","rock","2012","0"
"143","saff","2013","1"
"144","saffinf16","2016","0"
"145","sarg","2015","1"
"146","sash","A","1"
"147","scar","A","1"
"148","schm","A","0"
"149","shel","2013","0"
"150","shum","A","1"
"151","shuminf15","2015","NA"
"152","socr","2014","1"
"153","spoc","2013","0"
"154","stru","2014","0"
"155","swaz","2016","1"
"156","swee","2014","0"
"157","talu","A","0"
"158","tarz","2013","0"
"159","tear","A","1"
"160","tearinf16","2016","0"
"161","thor","2013","1"
"162","thun","A","0"
"163","tige","A","0"
"164","timm","2013","0"
"165","tita","2014","1"
"166","torn","2015","0"
"167","trac","A","1"
"168","tren","A","0"
"169","trip","2014","0"
"170","tucs","2014","0"
"171","turt","A","1"
"172","tyle","A","0"
"173","tyva","A","1"
"174","ubun","A","1"
"175","ubuninf16","2016","NA"
"176","unfu","2015","0"
"177","uthe","A","0"
"178","valk","A","1"
"179","valkinf16","2016","NA"
"180","vect","2013","0"
"181","wall","A","0"
"182","wokb","A","1"
"183","wolo","2014","1"
"184","wood","2015","0"
"185","xavi","A","0"
"186","yoda","A","0"
"187","zool","A","0"
