"","ID","mumID"
"1","gord","glad"
"2","pumb","puzz"
"3","lia","lisa"
"4","tarz","trac"
"5","harr","herm"
"6","band","brie"
"7","thor","tyva"
"8","disn","daff"
"9","tita","tyva"
"10","bilb","brie"
"11","nobo","naom"
"12","nife","need"
"13","howz","herm"
"14","glac","glad"
"15","tucs","turt"
"16","polk","puzz"
"17","damo","daff"
"18","hect","holl"
"19","piec","puzz"
"20","luxe","lisa"
"21","puck","phoe"
"22","timm","tear"
"23","shel","shum"
"24","stru","shum"
"25","saff","scar"
"26","cind","carm"
"27","oreo","ocea"
"28","fina","flo"
"29","gizm","ging"
"30","spoc","sash"
"31","fent","fay"
"32","wolo","wokb"
"33","pean","phoe"
"34","funk","fay"
"35","socr","sash"
"36","cola","coco"
"37","swee","scar"
"38","omni","ocea"
"39","gats","ging"
"40","cact","carm"
"41","daen","dori"
"42","lore","lucy"
"43","wood","wokb"
"44","sarg","sash"
"45","pino","phoe"
"46","caba","coco"
"47","home","holl"
"48","guge","ging"
"49","dire","dori"
"50","octo","ocea"
"51","amy","arwe"
"52","prof","pene"
"53","peet","pris"
"54","vect","valk"
"55","eve","ella"
"56","leon","laya"
"57","dart","dott"
"58","katn","kins"
"59","glue","glit"
"60","loki","laur"
"61","kiss","kels"
"62","deso","dott"
"63","trip","tear"
"64","ligh","laur"
"65","grub","glit"
"66","cube","cycl"
"67","pupi","pene"
"68","podg","pris"
"69","elto","ella"
"70","dice","dott"
"71","torn","tear"
"72","emil","ella"
"73","unfu","ubun"
"74","arag","arwe"
"75","kumq","kins"
